"flow_id,""device"",""date"",""flow"""
"5665659,""202035132"",""2024-10-01 01:14:54+01"",""2.120"""
"5665660,""202035132"",""2024-10-01 00:59:54+01"",""2.520"""
"5665661,""202035132"",""2024-10-01 00:44:54+01"",""2.200"""
"5665662,""202035132"",""2024-10-01 00:29:54+01"",""2.440"""
"5665663,""202035132"",""2024-10-01 00:14:54+01"",""3.280"""
"5662579,""202035132"",""2024-09-30 23:59:54+01"",""4.520"""
"5662580,""202035132"",""2024-09-30 23:44:54+01"",""4.520"""
"5662581,""202035132"",""2024-09-30 23:29:54+01"",""5.480"""
"5662582,""202035132"",""2024-09-30 23:14:54+01"",""5.120"""
"5662583,""202035132"",""2024-09-30 22:59:54+01"",""5.280"""
"5662584,""202035132"",""2024-09-30 22:44:54+01"",""6.200"""
"5662585,""202035132"",""2024-09-30 22:29:54+01"",""5.720"""
"5662586,""202035132"",""2024-09-30 22:14:54+01"",""5.760"""
"5662587,""202035132"",""2024-09-30 21:59:54+01"",""6.040"""
"5662588,""202035132"",""2024-09-30 21:44:54+01"",""6.240"""
"5662589,""202035132"",""2024-09-30 21:29:54+01"",""5.840"""
"5662590,""202035132"",""2024-09-30 21:14:54+01"",""6.360"""
"5662591,""202035132"",""2024-09-30 20:59:54+01"",""5.920"""
