"Time","Distribuído"
2024-10-28 21:38:21,45.10
2024-10-28 21:42:55,45.10
2024-10-28 21:42:55,45.10
2024-10-28 21:47:30,40.00
2024-10-28 21:47:30,40.00
2024-10-28 21:52:01,40.00
2024-10-28 21:52:01,40.00
2024-10-28 21:56:31,30.00
2024-10-28 21:56:31,30.00
2024-10-28 22:01:43,30.00
2024-10-28 22:01:43,30.00
2024-10-28 22:06:17,30.00
2024-10-28 22:06:17,30.00
2024-10-28 22:10:55,32.70
2024-10-28 22:10:55,32.70
2024-10-28 22:15:26,32.70
2024-10-28 22:15:26,32.70
2024-10-28 22:19:56,30.00
2024-10-28 22:19:56,30.00
2024-10-28 22:24:50,30.00
2024-10-28 22:24:50,30.00
2024-10-28 22:29:28,30.00
2024-10-28 22:29:28,30.00
2024-10-28 22:34:02,30.00
2024-10-28 22:34:02,30.00
2024-10-28 22:39:16,27.70
2024-10-28 22:39:16,27.70
2024-10-28 22:43:46,27.70
2024-10-28 22:43:46,27.70
2024-10-28 22:48:11,27.70
2024-10-28 22:48:11,27.70
2024-10-28 22:53:33,27.70
2024-10-28 22:53:33,27.70
2024-10-28 22:58:05,27.70
2024-10-28 22:58:05,27.70
2024-10-28 23:02:39,30.00
2024-10-28 23:07:58,30.00
2024-10-28 23:12:23,30.00
2024-10-28 23:17:02,30.00
2024-10-28 23:22:21,20.00
2024-10-28 23:26:53,24.00
2024-10-28 23:31:37,24.00
2024-10-28 23:36:58,18.00
2024-10-28 23:41:36,18.00
2024-10-28 23:46:09,18.00
2024-10-28 23:51:28,24.00
2024-10-28 23:56:02,24.00
