Time,Distribuído,Month,day_of_month,day_of_week,Hour,Minute
2024-01-01 20:30:00,27.7,1,1,0,20,30
2024-01-01 20:35:00,32.7,1,1,0,20,35
2024-01-01 20:40:00,36.0,1,1,0,20,40
2024-01-01 20:45:00,27.7,1,1,0,20,45
2024-01-01 20:50:00,36.0,1,1,0,20,50
2024-01-01 20:55:00,27.7,1,1,0,20,55
2024-01-01 21:00:00,27.7,1,1,0,21,0
2024-01-01 21:05:00,27.7,1,1,0,21,5
2024-01-01 21:10:00,27.7,1,1,0,21,10
2024-01-01 21:15:00,25.7,1,1,0,21,15
2024-01-01 21:20:00,25.7,1,1,0,21,20
2024-01-01 21:25:00,25.7,1,1,0,21,25
2024-01-01 21:30:00,30.0,1,1,0,21,30
2024-01-01 21:35:00,30.0,1,1,0,21,35
2024-01-01 21:40:00,22.5,1,1,0,21,40
2024-01-01 21:45:00,22.5,1,1,0,21,45
2024-01-01 21:50:00,25.7,1,1,0,21,50
2024-01-01 21:55:00,25.7,1,1,0,21,55
2024-01-01 22:00:00,18.0,1,1,0,22,0
2024-01-01 22:05:00,25.7,1,1,0,22,5
2024-01-01 22:10:00,21.1,1,1,0,22,10
2024-01-01 22:15:00,25.7,1,1,0,22,15
2024-01-01 22:20:00,27.7,1,1,0,22,20
2024-01-01 22:25:00,18.0,1,1,0,22,25
2024-01-01 22:30:00,18.0,1,1,0,22,30
2024-01-01 22:35:00,24.0,1,1,0,22,35
2024-01-01 22:40:00,24.0,1,1,0,22,40
2024-01-01 22:45:00,22.5,1,1,0,22,45
2024-01-01 22:50:00,22.5,1,1,0,22,50
2024-01-01 22:55:00,22.5,1,1,0,22,55
2024-01-01 23:00:00,22.5,1,1,0,23,0
2024-01-01 23:05:00,22.5,1,1,0,23,5
2024-01-01 23:10:00,20.0,1,1,0,23,10
2024-01-01 23:15:00,20.0,1,1,0,23,15
2024-01-01 23:20:00,15.6,1,1,0,23,20
2024-01-01 23:25:00,15.6,1,1,0,23,25
2024-01-01 23:30:00,18.9,1,1,0,23,30
2024-01-01 23:35:00,18.9,1,1,0,23,35
2024-01-01 23:40:00,14.4,1,1,0,23,40
2024-01-01 23:45:00,14.4,1,1,0,23,45
2024-01-01 23:50:00,15.0,1,1,0,23,50
2024-01-01 23:55:00,15.0,1,1,0,23,55
2024-01-02 00:00:00,15.0,1,2,1,0,0
2024-01-02 00:05:00,17.1,1,2,1,0,5
2024-01-02 00:10:00,22.5,1,2,1,0,10
2024-01-02 00:15:00,22.5,1,2,1,0,15
2024-01-02 00:20:00,22.5,1,2,1,0,20
2024-01-02 00:25:00,17.1,1,2,1,0,25
2024-01-02 00:30:00,17.1,1,2,1,0,30
2024-01-02 00:35:00,16.3,1,2,1,0,35
2024-01-02 00:40:00,16.3,1,2,1,0,40
2024-01-02 00:45:00,16.3,1,2,1,0,45
2024-01-02 00:50:00,16.3,1,2,1,0,50
2024-01-02 00:55:00,16.3,1,2,1,0,55
2024-01-02 01:00:00,12.4,1,2,1,1,0
2024-01-02 01:05:00,10.9,1,2,1,1,5
2024-01-02 01:10:00,10.9,1,2,1,1,10
2024-01-02 01:15:00,10.9,1,2,1,1,15
2024-01-02 01:20:00,10.5,1,2,1,1,20
2024-01-02 01:25:00,10.5,1,2,1,1,25
2024-01-02 01:30:00,9.2,1,2,1,1,30
2024-01-02 01:35:00,9.2,1,2,1,1,35
2024-01-02 01:40:00,11.6,1,2,1,1,40
2024-01-02 01:45:00,11.6,1,2,1,1,45
2024-01-02 01:50:00,11.6,1,2,1,1,50
2024-01-02 01:55:00,10.0,1,2,1,1,55
2024-01-02 02:00:00,10.0,1,2,1,2,0
2024-01-02 02:05:00,10.0,1,2,1,2,5
2024-01-02 02:10:00,10.0,1,2,1,2,10
2024-01-02 02:15:00,9.7,1,2,1,2,15
2024-01-02 02:20:00,9.7,1,2,1,2,20
2024-01-02 02:25:00,9.2,1,2,1,2,25
2024-01-02 02:30:00,9.2,1,2,1,2,30
2024-01-02 02:35:00,9.2,1,2,1,2,35
2024-01-02 02:40:00,9.2,1,2,1,2,40
2024-01-02 02:45:00,9.2,1,2,1,2,45
2024-01-02 02:50:00,8.7,1,2,1,2,50
2024-01-02 02:55:00,8.7,1,2,1,2,55
2024-01-02 03:00:00,9.0,1,2,1,3,0
2024-01-02 03:05:00,9.0,1,2,1,3,5
2024-01-02 03:10:00,7.8,1,2,1,3,10
2024-01-02 03:15:00,7.8,1,2,1,3,15
2024-01-02 03:20:00,10.0,1,2,1,3,20
2024-01-02 03:25:00,10.0,1,2,1,3,25
2024-01-02 03:30:00,9.0,1,2,1,3,30
2024-01-02 03:35:00,9.0,1,2,1,3,35
2024-01-02 03:40:00,8.3,1,2,1,3,40
2024-01-02 03:45:00,8.3,1,2,1,3,45
2024-01-02 03:50:00,8.3,1,2,1,3,50
2024-01-02 03:55:00,9.4,1,2,1,3,55
