Time,Distribuído,Month,day_of_month,day_of_week,Hour,Minute
2024-01-27 14:45:00,3.6,1,27,5,14,45
2024-01-27 15:00:00,4.4,1,27,5,15,0
2024-01-27 15:15:00,4.4,1,27,5,15,15
2024-01-27 15:30:00,3.2,1,27,5,15,30
2024-01-27 15:45:00,3.6,1,27,5,15,45
2024-01-27 16:00:00,3.6,1,27,5,16,0
2024-01-27 16:15:00,3.6,1,27,5,16,15
2024-01-27 16:30:00,3.2,1,27,5,16,30
2024-01-27 16:45:00,2.8,1,27,5,16,45
2024-01-27 17:00:00,2.8,1,27,5,17,0
2024-01-27 17:15:00,3.6,1,27,5,17,15
2024-01-27 17:30:00,3.2,1,27,5,17,30
2024-01-27 17:45:00,3.6,1,27,5,17,45
2024-01-27 18:00:00,3.6,1,27,5,18,0
2024-01-27 18:15:00,3.6,1,27,5,18,15
2024-01-27 18:30:00,3.6,1,27,5,18,30
2024-01-27 18:45:00,3.6,1,27,5,18,45
2024-01-27 19:00:00,3.6,1,27,5,19,0
2024-01-27 19:15:00,4.4,1,27,5,19,15
2024-01-27 19:30:00,4.4,1,27,5,19,30
2024-01-27 19:45:00,3.6,1,27,5,19,45
2024-01-27 20:00:00,4.0,1,27,5,20,0
2024-01-27 20:15:00,4.4,1,27,5,20,15
2024-01-27 20:30:00,4.4,1,27,5,20,30
2024-01-27 20:45:00,3.6,1,27,5,20,45
2024-01-27 21:00:00,5.2,1,27,5,21,0
2024-01-27 21:15:00,4.4,1,27,5,21,15
2024-01-27 21:30:00,3.6,1,27,5,21,30
2024-01-27 21:45:00,2.8,1,27,5,21,45
2024-01-27 22:00:00,2.8,1,27,5,22,0
2024-01-27 22:15:00,2.4,1,27,5,22,15
2024-01-27 22:30:00,3.6,1,27,5,22,30
2024-01-27 22:45:00,3.6,1,27,5,22,45
2024-01-27 23:00:00,3.6,1,27,5,23,0
2024-01-27 23:15:00,3.2,1,27,5,23,15
2024-01-27 23:30:00,2.8,1,27,5,23,30
2024-01-27 23:45:00,2.8,1,27,5,23,45
2024-01-28 00:00:00,2.0,1,28,6,0,0
2024-01-28 00:15:00,1.6,1,28,6,0,15
2024-01-28 00:30:00,2.0,1,28,6,0,30
2024-01-28 00:45:00,1.2,1,28,6,0,45
2024-01-28 01:00:00,2.0,1,28,6,1,0
2024-01-28 01:15:00,1.2,1,28,6,1,15
2024-01-28 01:30:00,2.0,1,28,6,1,30
2024-01-28 01:45:00,1.2,1,28,6,1,45
2024-01-28 02:00:00,1.2,1,28,6,2,0
2024-01-28 02:15:00,1.6,1,28,6,2,15
2024-01-28 02:30:00,1.2,1,28,6,2,30
2024-01-28 02:45:00,1.6,1,28,6,2,45
2024-01-28 03:00:00,1.2,1,28,6,3,0
2024-01-28 03:15:00,1.2,1,28,6,3,15
2024-01-28 03:30:00,1.2,1,28,6,3,30
2024-01-28 03:45:00,1.2,1,28,6,3,45
2024-01-28 04:00:00,1.2,1,28,6,4,0
2024-01-28 04:15:00,1.2,1,28,6,4,15
2024-01-28 04:30:00,1.2,1,28,6,4,30
2024-01-28 04:45:00,1.2,1,28,6,4,45
2024-01-28 05:00:00,1.2,1,28,6,5,0
2024-01-28 05:15:00,1.2,1,28,6,5,15
2024-01-28 05:30:00,1.2,1,28,6,5,30
2024-01-28 05:45:00,1.2,1,28,6,5,45
2024-01-28 06:00:00,1.2,1,28,6,6,0
2024-01-28 06:15:00,1.2,1,28,6,6,15
2024-01-28 06:30:00,1.2,1,28,6,6,30
2024-01-28 06:45:00,1.2,1,28,6,6,45
2024-01-28 07:00:00,2.0,1,28,6,7,0
2024-01-28 07:15:00,2.8,1,28,6,7,15
2024-01-28 07:30:00,2.0,1,28,6,7,30
2024-01-28 07:45:00,2.4,1,28,6,7,45
